cytoband	2q31.2	9p21.3	2p11.1	1p35.2	1q31.1	20q11.1	10q11.21	14q32.33	16p12.3	19q13.2	18q21.2	1q21.1	17p11.2	16p11.2	Yq11.221	17p13.1	17q24.2	Xp22.33	6p25.1	7q36.3	22q11.22	4q35.2	6q25.3	19q13.42	7q34	12q21.31	22q13.33	16q11.2	15q14	6q11.1	12p13.33	1q44	2p23.1	9q21.31	
																																FCRL5	MIR1245A		
																																FCRL4	MIR1301		
																																SH3BGRL3	MIR1285-2		
																																DDX59	MIR1244-1		
																																NUF2	BRE-AS1		
																																RASSF5	GPR75-ASB3		
																																SESN2	SNORA80B		
																																ESPN	ZEB2-AS1		
																																TAS1R3	MIR548F2		
																																ATAD3B	MIR663B		
																																HMCN1	GCSHP3		
																																GPR61	SNORA70F		
																																MIXL1	BOK-AS1		
																																STK40	MIR3128		
																																SPRTN	MIR548S		
																																TM2D1	MIR4265		
																																FCAMR	MIR1244-3		
																																REG4	MIR1244-2		
																																OBSCN	MIR4264		
																																TMEM222	MIR3129		
																																TEX35	MIR3127		
																																PLEKHN1	MIR4261		
																																HORMAD1	MIR3133		
																																TOMM40L	MIR3131		
																																SYDE2	MIR4268		
																																ZNF644	MIR4263		
																																USP48	MIR3125		
																																ZMYND12	MIR3130-1		
																																NBPF3	MIR4267		
																																LRRC8C	MIR4262		
																																ZDHHC18	MIR3130-2		
																																SGIP1	MIR4266		
																																POLR3GL	MIR3126		
																																SLC25A33	MIR2355		
																																TMEM79	MIR3132		
																																NTPCR	MIR4269		
																																EFCAB2	LINC00276		
																																DDI2	LOC100499194		
																																ACBD6	MIR3606		
																																LZIC	MIR3682		
																																PROK1	MIR3679		
																																MLK4	MIR3681		
																																EFCAB7	GTF3C2-AS1		
																																ZBTB37	LOC100505716		
																																NT5C1A	LOC100505736		
																																LCE3D	CEBPZOS		
																																TRIM63	LINC01304		
																																LINC00260	LOC100505984		
																																PSRC1	RNASEH1-AS1		
																																FAM167B	LOC100506076		
																																LINC00467	SIX3-AS1		
																																FOXD2-AS1	LOC100506123		
																																PERM1	LOC100506124		
																																CROCCP2	TTC21B-AS1		
																																FCRLA	LOC100506142		
																																ANKRD36BP1	LOC100506274		
																																ZNF496	LOC100506286		
																																HPDL	ID2-AS1		
																																ATP1A1-AS1	LINC01127		
																																AGBL4	LINC01158		
																																MFSD2A	MIR3681HG		
																																C1orf198	LOC100506474		
																																PPP1R15B	AGAP1-IT1		
																																ATG4C	HOXD-AS2		
																																MAEL	TTN-AS1		
																																PRPF38A	LOC100507006		
																																SYTL1	LOC100507073		
																																IGSF21	LOC100507140		
																																LSM10	BOLA3-AS1		
																																C1orf94	LOC100507201		
																																DISP1	LOC100507334		
																																SNHG12	LOC100507443		
																																STRIP1	IDH1-AS1		
																																RGS8	LOC100507600		
																																SLC45A3	LY75-CD302		
																																DOCK7	RNF103-CHMP3		
																																CFAP74	NT5C1B-RDH14		
																																WNT3A	PHOSPHO2-KLHL23		
																																NAV1	HSPE1-MOB4		
																																SEC16B	INO80B-WBP1		
																																AQP10	UBE2F-SCLY		
																																LHX4	MIR4436B1		
																																SLAMF9	MIR4430		
																																KIAA2013	MIR4772		
																																THAP3	MIR4779		
																																STPG1	MIR4783		
																																PYGO2	MIR4439		
																																ANGEL2	MIR4782		
																																SPOCD1	MIR4437		
																																ZNF697	MIR4765		
																																IGFN1	MIR4433A		
																																NUP210L	MIR4776-1		
																																BTF3L4	MIR548AE1		
																																UBXN11	MIR4757		
																																NEXN	MIR4777		
																																CENPL	MIR1245B		
																																DUSP27	MIR4435-2		
																																RCSD1	MIR4426		
																																MEX3A	MIR4774		
																																METTL18	MIR2467		
																																GORAB	MIR4775		
																																C1orf105	MIR4785		
																																TMEM183A	MIR4771-1		
																																HIST3H2A	MIR4438		
																																PIGM	MIR4784		
																																IGSF8	MIR4773-1		
																																C1orf158	MIR4444-1		
																																LEMD1	MIR4440		
																																ZNF670	MIR4436A		
																																FBXO44	MIR4786		
																																ATPIF1	MIR4434		
																																SNORD46	MIR4431		
																																SNORD38A	MIR4780		
																																SNORD38B	MIR4778		
																																DNAJA1P5	MIR4429		
																																GLMP	MIR4432		
																																MED8	MIR548AD		
																																KTI12	MIR4441		
																																SMIM12	MIR4435-1		
																																AZIN2	PARTICL		
																																TMEM54	KIAA2012		
																																HENMT1	MIR5000		
																																TOE1	MIR5696		
																																NLRP3	MIR5001		
																																ERMAP	MIR548AU		
																																PGLYRP3	MIR5702		
																																CSMD2	MIR5590		
																																MYSM1	MIR5703		
																																GNRHR2	MIR5192		
																																CROCCP3	CERS6-AS1		
																																FHAD1	MEIS1-AS2		
																																SLAMF6	XIRP2-AS1		
																																OSBPL9	AGBL5-AS1		
																																SLC26A9	DGUOK-AS1		
																																LOC115110	LINC00570		
																																OMA1	STEAP3-AS1		
																																RAB42	TGFA-IT1		
																																FCRL1	ALMS1-IT1		
																																FCRL3	HS1BP3-IT1		
																																LRRC42	VWC2L-IT1		
																																GBP4	LOC100996579		
																																GBP5	LOC100996693		
																																FAM46B	LOC101060019		
																																FMO9P	LOC101060091		
																																COX20	LOC101060385		
																																RBP7	LOC101060391		
																																TSEN15	OSGEPL1-AS1		
																																FAM129A	RMDN2-AS1		
																																SNAP47	GPR1-AS		
																																ACAP3	SCHLAP1		
																																TADA1	CAPN10-AS1		
																																THEM4	LOC101805491		
																																SH2D1B	LOC101926913		
																																SSX2IP	LOC101926966		
																																UBE2J2	LOC101927027		
																																OLFM3	LOC101927043		
																																GABPB2	LOC101927050		
																																TCHHL1	LOC101927053		
																																RPTN	LOC101927055		
																																CCDC163	LOC101927070		
																																TDRD10	LOC101927142		
																																SHE	LOC101927156		
																																KDF1	LOC101927165		
																																CCSAP	LOC101927196		
																																LRRC38	LINC01473		
																																AADACL3	LOC101927285		
																																PUSL1	LINC01237		
																																B3GALT6	LOC101927331		
																																WDR63	LINC01103		
																																KLHDC9	LOC101927402		
																																AXDND1	LOC101927406		
																																MAB21L3	LOC101927431		
																																IFFO2	LOC101927438		
																																SLC44A3	LOC101927482		
																																ATXN7L2	UTAT33		
																																C1orf194	ANKRD44-IT1		
																																LYPLAL1	LINC01250		
																																OR2M5	LOC101927577		
																																OR2M3	DPP10-AS3		
																																OR2T12	LOC101927596		
																																OR14C36	LOC101927619		
																																OR2T34	LOC101927641		
																																OR2T10	LOC101927661		
																																OR2T4	LOC101927701		
																																OR2T11	LOC101927709		
																																ATP6V1G3	ATP6V1B1-AS1		
																																ASB17	LOC101927795		
																																TYW3	LOC101927865		
																																ERICH3	LOC101927881		
																																LRRIQ3	LOC101927884		
																																TPRG1L	LOC101927907		
																																FAM213B	LOC101927924		
																																MYOM3	LOC101927926		
																																DMBX1	LOC101927948		
																																OR10J5	LOC101927960		
																																TMCO2	LOC101927967		
																																ZNF684	LOC101927987		
																																TCEANC2	LINC01087		
																																PODN	LOC101928020		
																																LRRC39	LOC101928103		
																																GJB4	LOC101928111		
																																HMGB4	ST3GAL5-AS1		
																																RNF19B	LOC101928161		
																																A3GALT2	LOC101928185		
																																DCST2	LOC101928222		
																																DNAH14	LINC01280		
																																OR2B11	DARS-AS1		
																																ZNF648	LOC101928273		
																																TEDDM1	LOC101928327		
																																C1orf122	LOC101928371		
																																OSCP1	LOC101928386		
																																C1orf216	LOC101928403		
																																KLHDC7A	LINC01412		
																																VWA5B1	CATIP-AS1		
																																UBXN10	LINC01494		
																																C1orf87	LOC101928881		
																																ARL8A	PGM5P3-AS1		
																																SYT2	LOC101929231		
																																LINC00628	LOC101929260		
																																GOLT1A	LOC101929282		
																																UHMK1	LOC101929319		
																																FCRLB	LOC101929378		
																																WDR64	LINC01247		
																																C1orf131	LOC101929452		
																																LIX1L	LOC101929512		
																																HSD3BP4	LOC101929532		
																																SPATA17	LOC101929551		
																																EDARADD	LINC00211		
																																KLF17	LOC101929567		
																																TMEM125	LOC101929570		
																																TSACC	LOC101929596		
																																IQGAP3	LOC101929633		
																																NAXE	LOC101929680		
																																ARHGEF19	LOC101929715		
																																MRPL55	LOC101929723		
																																HIST3H2BB	LOC101929733		
																																DRAM2	LOC101929753		
																																PIFO	LOC101929882		
																																C1orf162	LOC101929926		
																																OR10T2	RNU6-7		
																																OR6P1	MIR6512		
																																OR10X1	MIR6513		
																																OR10Z1	MIR6809		
																																OR6K6	MIR6811		
																																OR6N1	MIR6888		
																																TATDN3	MIR7157		
																																S100A16	MIR7158		
																																NEK7	MIR7704		
																																ACTRT2	MIR4433B		
																																MIB2	MIR7845		
																																ITLN2	MIR548BA		
																																SYT6	MIR8080		
																																C1orf74	MIR6810		
																																CREB3L4	MIR7515		
																																C1orf127	MIR6071		
																																BROX	LINC01159		
																																SAMD11	LOC102723362		
																																LOC148413	LINC01248		
																																SAMD13	LOC102723824		
																																C1orf52	LOC102723854		
																																PHF13	LOC102723927		
																																CIART	LOC102724058		
																																TMEM56	LINC01117		
																																NBPF4	LINC01628		
																																UBE2U	LINC01291		
																																SLC35F3	LOC102724579		
																																LINC00337	LOC102724691		
																																LOC148696	LOC102724714		
																																LOC148709	LINC01594		
																																PTPRVP	LANCL1-AS1		
																																HFE2	LOC102724849		
																																ANKRD35	LOC102725079		
																																FAM163A	HAGLROS		
																																OVAAL	MIR7515HG		
																																B3GALNT2	LINC01246		
																																MFSD4A	LOC102800447		
																																PM20D1	PGM5P4-AS1		
																																GCSAML	MIR9500		
																																GCSAML-AS1	MIR8485		
																																SLC30A7	RNU6-2		
																																CCDC27	CATIP-AS2		
																																ZNF436-AS1	MYCNUT		
																																KNCN	BIRC6-AS2		
																																MOB3C	NRIR		
																																GLIS1	GACAT1		
																																NBPF12	DLX2-AS1		
																																LELP1	LINC01143		
																																RC3H1	LINC01090		
																																MGC27382	LINC01317		
																																DCDC2B	LINC01320		
																																ZNF362	MIR217HG		
																																LINC01225	GACAT3		
																																DCST1	LOC105373352		
																																CNIH3	LOC105373394		
																																LINC01341	LOC105373496		
																																MANEAL	LOC105373518		
																																IL23R	LOC105373519		
																																METTL11B	LOC105373553		
																																FAM78B	LOC105373562		
																																SHISA4	LOC105373609		
																																EXOC8	LOC105373635		
																																LOC149373	LOC105373656		
																																PDIK1L	LOC105373764		
																																BNIPL	LOC105373782		
																																CLDN19	LOC105373805		
																																CFAP57	LINC01614		
																																C1orf210	LOC105373876		
																																CCDC24	DIRC3-AS1		
																																BTBD19	LOC105373878		
																																CCDC17	LOC105373984		
																																LRRC71	LOC105374389		
																																C1orf64	LOC105374596		
																																RNF187	LOC105374820		
																																CHIAP2	LOC105616981		
																																PYHIN1	LOC105747689		
																																SPATA45	LINC01173		
																																FAM71A	LINC01381		
																																SLC2A7	LINC01318		
																																DENND2C	SNORA105A		
																																GBP6	SNORD132		
																																PLPPR5	MIR4432HG		
																																FNDC7	AOX3P-AOX2P		
																																DENND1B	LINC01593		
																																TDRD5			
																																TOR1AIP2			
																																CALML6			
																																IFNLR1			
																																CYP4Z2P			
																																CITED4			
																																SLC25A3P1			
																																LEXM			
																																SPRR4			
																																KANK4			
																																SASS6			
																																SDE2			
																																CNST			
																																FAM43B			
																																HFM1			
																																PAQR7			
																																TTC24			
																																CCDC185			
																																UBL4B			
																																NUDT4P2			
																																PDIA3P1			
																																OXCT2P1			
																																AGO3			
																																AGO4			
																																LCE4A			
																																ALG14			
																																FAM76A			
																																LINC00466			
																																C1orf168			
																																TMEM201			
																																TMEM61			
																																CYP4Z1			
																																FAAP20			
																																CDCP2			
																																SLC5A9			
																																CC2D1B			
																																NBPF11			
																																NUDT17			
																																FLJ23867			
																																TXLNA			
																																TCTEX1D1			
																																PLD5			
																																C1orf100			
																																SPAG17			
																																SLFNL1			
																																KRTCAP2			
																																CRTC2			
																																TMEM51-AS1			
																																IBA57			
																																HIPK1			
																																SLC44A5			
																																ATAD3C			
																																AKR7L			
																																AKR7A2P1			
																																TMEM9			
																																FNDC5			
																																EPHX4			
																																LINC01342			
																																TTLL10			
																																AKNAD1			
																																SLC41A1			
																																OR2T6			
																																LCE5A			
																																TMCO4			
																																MCOLN2			
																																COL24A1			
																																LOC255654			
																																PCSK9			
																																SYT14			
																																ST6GALNAC3			
																																C1orf101			
																																ZNF683			
																																ARHGAP30			
																																CFAP126			
																																NEGR1			
																																ASPM			
																																MDS2			
																																CYP4X1			
																																MAGI3			
																																TIPRL			
																																NPHP4			
																																BEST4			
																																PGBD2			
																																FAM19A3			
																																RIIAD1			
																																THEM5			
																																C1orf167			
																																OR2L13			
																																SLC9C2			
																																OR14A16			
																																CYP4A22			
																																C1orf185			
																																LINC01226			
																																NBPF15			
																																LINC00303			
																																LEMD1-AS1			
																																LOC284578			
																																LOC284581			
																																FAM41C			
																																FAM102B			
																																SYPL2			
																																CYB561D1			
																																ANKRD34A			
																																RUSC1-AS1			
																																LOC284632			
																																LOC284648			
																																SMG7-AS1			
																																RSPO1			
																																EPHA10			
																																LOC284661			
																																C1orf204			
																																C1orf111			
																																LINC01142			
																																ZNF326			
																																BTBD8			
																																RIMKLA			
																																SLC25A34			
																																ESPNP			
																																LIN9			
																																VN1R5			
																																HIST2H2AB			
																																PPM1J			
																																HIST2H3A			
																																HIST2H2BC			
																																HIST2H2BA			
																																FAM151A			
																																S100A7A			
																																RAB7B			
																																LINGO4			
																																FLG-AS1			
																																RXFP4			
																																ANKRD45			
																																LINC01343			
																																C1orf174			
																																KLHL17			
																																TMEM240			
																																TMEM52			
																																BRINP3			
																																MTMR9LP			
																																ZBTB8OS			
																																TFAP2E			
																																ZNF678			
																																PRSS38			
																																LINC01141			
																																CCDC190			
																																LINC01140			
																																LOC339529			
																																LINC01139			
																																LOC339539			
																																C1orf228			
																																ZFP69			
																																RD3			
																																LOC343052			
																																AADACL4			
																																PRAMEF5			
																																HNRNPCL1			
																																PRAMEF10			
																																CCDC18			
																																OR6F1			
																																OR2W3			
																																OR2T8			
																																OR2T3			
																																MYBPHL			
																																OR10R2			
																																FCRL6			
																																KCNT2			
																																BARHL2			
																																NBPF7			
																																TCTEX1D4			
																																OR2T29			
																																SERINC2			
																																FAM159A			
																																FAM131C			
																																LCE1A			
																																LCE1B			
																																LCE1C			
																																LCE1D			
																																LCE1E			
																																LCE1F			
																																LCE2A			
																																LCE2C			
																																LCE2D			
																																LCE3A			
																																LCE3B			
																																LCE3C			
																																LCE3E			
																																PADI6			
																																RGSL1			
																																BMP8A			
																																IRF2BP2			
																																ZBTB41			
																																CYCSP52			
																																DRAXIN			
																																SPATA21			
																																SVBP			
																																TEX38			
																																MROH7			
																																MIGA1			
																																NEXN-AS1			
																																PEAR1			
																																SFT2D2			
																																MIA3			
																																STUM			
																																FAM89A			
																																AGRN			
																																RPS10P7			
																																CENPS			
																																CATSPER4			
																																NSUN4			
																																GPR153			
																																ILDR2			
																																FAM132A			
																																HES5			
																																SMIM1			
																																RNF207			
																																TMEM82			
																																TRNP1			
																																CD164L2			
																																TRABD2B			
																																LDLRAD1			
																																GBP7			
																																C1orf146			
																																FAM69A			
																																SLC6A17			
																																C1orf137			
																																NOTCH2NL			
																																LINC01138			
																																LOC388692			
																																LYSMD1			
																																HRNR			
																																FLG2			
																																C1orf189			
																																FMO6P			
																																LINC00272			
																																C1orf53			
																																TMEM81			
																																CAPN8			
																																COA6			
																																C1orf229			
																																OR2M1P			
																																HES3			
																																PRAMEF12			
																																PRAMEF8			
																																PRAMEF18			
																																PRAMEF17			
																																PLA2G2C			
																																SKINT1L			
																																UOX			
																																FRRS1			
																																VHLL			
																																OR10K2			
																																OR10K1			
																																OR6Y1			
																																OR6K3			
																																VSIG8			
																																OR11L1			
																																OR2L8			
																																OR2AK2			
																																OR2L3			
																																OR2M2			
																																OR2T33			
																																OR2M7			
																																OR2G6			
																																TMEM200B			
																																FAM87B			
																																PRAMEF4			
																																PRAMEF13			
																																SH2D5			
																																NCMAP			
																																LINC01144			
																																C1orf141			
																																GBP1P1			
																																FLJ27354			
																																MIR137HG			
																																C1orf226			
																																LOC400794			
																																C1orf220			
																																LINC01344			
																																C1orf140			
																																NBPF9			
																																FAM177B			
																																RNF223			
																																LDLRAD2			
																																ZNF847P			
																																OR2T2			
																																OR2T5			
																																OR14I1			
																																CSMD2-AS1			
																																OR2T27			
																																OR2T35			
																																APOBEC4			
																																MIR101-1			
																																MIR137			
																																MIR181B1			
																																MIR186			
																																MIR194-1			
																																MIR197			
																																MIR199A2			
																																MIR200A			
																																MIR200B			
																																MIR205			
																																MIR181A1			
																																MIR214			
																																MIR215			
																																MIR29B2			
																																MIR29C			
																																MIR30C1			
																																MIR30E			
																																MIR34A			
																																MIR9-1			
																																MGC34796			
																																RGS21			
																																LHX8			
																																LINC01555			
																																LINC00982			
																																PRAMEF11			
																																PRAMEF6			
																																HNRNPCL2			
																																UQCRHL			
																																MINOS1			
																																SLC2A1-AS1			
																																FAM183A			
																																ZYG11A			
																																FLJ31662			
																																LOC440600			
																																LOC440602			
																																BCL2L15			
																																NUDT4P1			
																																HIST2H2BF			
																																ETV3L			
																																LRRC52			
																																LOC440700			
																																LOC440704			
																																C1orf186			
																																TRIM67			
																																MAP1LC3C			
																																H3F3AP4			
																																GTF2IP20			
																																ANKRD65			
																																PRAMEF7			
																																PRAMEF25			
																																PGCP1			
																																NBPF18P			
																																OR10J3			
																																BECN2			
																																OR2W5			
																																OR13G1			
																																MIR135B			
																																KPRP			
																																LCE6A			
																																SUMO1P3			
																																GEMIN8P4			
																																RBMXL1			
																																LURAP1			
																																PEF1			
																																MIR429			
																																LINC00862			
																																FAM72C			
																																DUSP5P1			
																																SERTAD4-AS1			
																																ADAMTSL4-AS1			
																																C1orf145			
																																PRR9			
																																IBA57-AS1			
																																MIR488			
																																CYB5RL			
																																SNORD74			
																																SSBP3-AS1			
																																RPL31P11			
																																MGAT4EP			
																																MIR205HG			
																																SPATA42			
																																FLVCR1-AS1			
																																CYMP			
																																KIAA0754			
																																LOC643355			
																																LOC643441			
																																LYPLAL1-AS1			
																																LINC01128			
																																TMEM88B			
																																FNDC10			
																																RPS14P3			
																																LINC00622			
																																PPIAL4G			
																																FAM231D			
																																NBPF13P			
																																ACTG1P20			
																																PIK3CD-AS1			
																																NFIA-AS1			
																																PPIAL4D			
																																LOC645166			
																																SNRPD2P2			
																																PRAMEF26			
																																PRAMEF33P			
																																PRAMEF19			
																																PRAMEF20			
																																FAM138A			
																																ASH1L-AS1			
																																POU5F1P4			
																																MT1HL1			
																																RPS7P5			
																																S100A7L2			
																																LACTBL1			
																																LOC646268			
																																LOC646471			
																																LOC646626			
																																LYPD8			
																																SETSIP			
																																EMBP1			
																																SRGAP2B			
																																ASCL5			
																																ACTG1P4			
																																PRAMEF34P			
																																HNRNPCL3			
																																ZBTB8A			
																																NBPF6			
																																LOC653160			
																																SRGAP2C			
																																PPIAL4A			
																																GPR89A			
																																PPIAL4C			
																																HIST2H3D			
																																PRAMEF22			
																																PRAMEF15			
																																WASH7P			
																																FAM72B			
																																PCP4L1			
																																FAM138C			
																																SCARNA3			
																																SCARNA2			
																																SCARNA4			
																																SCARNA1			
																																FAM138D			
																																SNORA14B			
																																SNORA36B			
																																SNORA80E			
																																SNORA44			
																																SNORA55			
																																SNORA61			
																																SNORA77			
																																SNORA59A			
																																SNORA16A			
																																SNORD45C			
																																SNORA16B			
																																SNORD75			
																																SNORD76			
																																SNORD77			
																																SNORD78			
																																SNORD103C			
																																SNORD99			
																																SNORD103A			
																																MIR551A			
																																MIR552			
																																MIR553			
																																MIR554			
																																MIR555			
																																MIR556			
																																MIR557			
																																MIR92B			
																																C1orf195			
																																ZBTB8B			
																																LINC01137			
																																PPIEL			
																																TGFB2-AS1			
																																CCDC30			
																																CDK11A			
																																SLC35E2B			
																																LINC01346			
																																FAM72D			
																																NBPF8			
																																LINC00623			
																																RPS15AP10			
																																LOC728989			
																																FAAHP1			
																																C1orf234			
																																HSD52			
																																PRAMEF14			
																																FAM72A			
																																FAM231A			
																																FAM231C			
																																FLJ37453			
																																LOC729737			
																																OR4F29			
																																LOC729867			
																																LOC729930			
																																LOC729970			
																																LOC729987			
																																LOC730102			
																																LOC730159			
																																LINC01136			
																																PPIAL4E			
																																LINC01347			
																																LINC01348			
																																PFN1P2			
																																MIR765			
																																PDZK1P1			
																																MIR942			
																																MIR190B			
																																MIR760			
																																MIR921			
																																FAM229A			
																																C1orf132			
																																LINC01349			
																																LOC100129046			
																																BTNL10			
																																LOC100129138			
																																MATN1-AS1			
																																LINC01160			
																																C1orf68			
																																MSTO2P			
																																LOC100129534			
																																LOC100129620			
																																LOC100129924			
																																EFCAB14-AS1			
																																LOC100130331			
																																LOC100130417			
																																NFYC-AS1			
																																LINC01135			
																																LOC100131107			
																																TSTD1			
																																RPL21P28			
																																MIR181A1HG			
																																CCDC18-AS1			
																																CADM3-AS1			
																																LOC100132057			
																																LOC100132062			
																																FOXO6			
																																LOC100132111			
																																LOC100132147			
																																NBPF10			
																																FCGR1CP			
																																ZRANB2-AS1			
																																KDM4A-AS1			
																																FAM231B			
																																LOC100133331			
																																LINC01134			
																																LOC100147773			
																																RNA5S1			
																																RNA5S2			
																																RNA5S3			
																																RNA5S4			
																																RNA5S5			
																																RNA5S6			
																																RNA5S7			
																																RNA5S9			
																																RNA5S10			
																																RNA5S11			
																																RNA5S12			
																																RNA5S13			
																																RNA5S14			
																																RNA5S15			
																																RNA5S16			
																																RNA5S17			
																																C2CD4D			
																																DDX11L1			
																																LOC100287497			
																																AP4B1-AS1			
																																LINC00582			
																																TTC34			
																																LGALS8-AS1			
																																GM140			
																																LOC100288069			
																																GS1-279B7.1			
																																NBPF20			
																																HYDIN2			
																																GNG12-AS1			
																																LINC00624			
																																MIR320B1			
																																MIR1182			
																																MIR1537			
																																MIR548N			
																																MIR1256			
																																MIR1231			
																																MIR548F3			
																																MIR1278			
																																MIR1295A			
																																MIR1976			
																																MIR664A			
																																MIR1290			
																																MIR1302-2			
																																MIR1262			
																																RASAL2-AS1			
																																LINC00184			
																																TSNAX-DISC1			
																																MIR320B2			
																																MIR1255B2			
																																MIR761			
																																NPPA-AS1			
																																ZBED6			
																																LOC100422212			
																																MIR1302-9			
																																MIR1302-10			
																																MIR3119-1			
																																MIR4259			
																																MIR3123			
																																MIR3115			
																																MIR3117			
																																MIR3124			
																																MIR3120			
																																MIR4260			
																																MIR4255			
																																MIR3116-1			
																																MIR4253			
																																MIR1302-11			
																																MIR3116-2			
																																MIR3122			
																																MIR4251			
																																MIR1273D			
																																MIR4252			
																																MIR4256			
																																MIR4257			
																																MIR3119-2			
																																MIR4258			
																																MIR4254			
																																MIR3121			
																																MIR3659			
																																MIR3917			
																																MIR3620			
																																MIR3658			
																																MIR3916			
																																MIR3605			
																																MIR3671			
																																MIR3675			
																																LINC01133			
																																LOC100505666			
																																SPATA1			
																																LINC01364			
																																LOC100505795			
																																LOC100505824			
																																PROX1-AS1			
																																LOC100505887			
																																LOC100505918			
																																ENO1-AS1			
																																RTCA-AS1			
																																LOC100506022			
																																LOC100506023			
																																GAS5-AS1			
																																TMEM35B			
																																TAF1A-AS1			
																																FAM212B-AS1			
																																SLC16A1-AS1			
																																ITPKB-IT1			
																																PCAT6			
																																LOC100506730			
																																LOC100506747			
																																LINC01353			
																																LINC01354			
																																LOC100506801			
																																LINC01132			
																																CHRM3-AS2			
																																TCEB3-AS1			
																																LOC100506985			
																																SLFNL1-AS1			
																																MKNK1-AS1			
																																LOC100507564			
																																LOC100507634			
																																LOC100507670			
																																APITD1-CORT			
																																FPGT-TNNI3K			
																																GJA9-MYCBP			
																																MROH7-TTC4			
																																PMF1-BGLAP			
																																LHX4-AS1			
																																TMEM56-RWDD3			
																																MINOS1-NBL1			
																																ZNF670-ZNF695			
																																TNFAIP8L2-SCNM1			
																																MIR4695			
																																MIR4428			
																																MIR1273G			
																																MIR1273F			
																																MIR4420			
																																MIR4419A			
																																MIR3972			
																																MIR4421			
																																MIR4753			
																																MIR4454			
																																MIR4422			
																																MIR4666A			
																																MIR4781			
																																MIR378G			
																																MIR4424			
																																MIR4794			
																																MIR4677			
																																MIR4426			
																																MIR4735			
																																MIR4425			
																																MIR4671			
																																MIR548AC			
																																MIR4654			
																																MIR4427			
																																MIR4684			
																																MIR4711			
																																MIR4689			
																																MIR5096			
																																MIR4418			
																																MIR4632			
																																MIR2682			
																																MIR5095			
																																MIR4742			
																																MIR4423			
																																MIR4417			
																																MIR378F			
																																DNM3OS			
																																RCAN3AS			
																																MIR1295B			
																																MIR5581			
																																MIR5585			
																																MIR5698			
																																MIR5087			
																																MIR5191			
																																MIR5697			
																																MIR5008			
																																MIR5584			
																																MIR5187			
																																NEGR1-IT1			
																																ZRANB2-AS2			
																																LINC00538			
																																PINK1-AS			
																																SRGAP2-AS1			
																																HLX-AS1			
																																DPYD-AS1			
																																DPYD-AS2			
																																MTOR-AS1			
																																VAV3-AS1			
																																IPO9-AS1			
																																KCNC4-AS1			
																																CHRM3-AS1			
																																KCND3-AS1			
																																FALEC			
																																UBE2Q1-AS1			
																																LINC00853			
																																HAO2-IT1			
																																ERI3-IT1			
																																DNM3-IT1			
																																KCND3-IT1			
																																AGBL4-IT1			
																																LINC00210			
																																LOC100996251			
																																LOC100996263			
																																FOXD3-AS1			
																																LINC01355			
																																NFIA-AS2			
																																LOC100996583			
																																LOC100996630			
																																LOC100996635			
																																LINC01356			
																																SRGAP2D			
																																HNRNPCL4			
																																LAMTOR5-AS1			
																																RNVU1-8			
																																BLACAT1			
																																DAB1-AS1			
																																LINC01358			
																																LOC101926944			
																																LOC101926964			
																																ROR1-AS1			
																																LINC01359			
																																LOC101927139			
																																LOC101927143			
																																LOC101927164			
																																DEPDC1-AS1			
																																LOC101927244			
																																LINC01360			
																																ERICH3-AS1			
																																LOC101927342			
																																LOC101927412			
																																LOC101927429			
																																LOC101927434			
																																LOC101927468			
																																LOC101927478			
																																LINC01361			
																																LOC101927532			
																																LOC101927560			
																																LOC101927587			
																																LOC101927604			
																																LOC101927683			
																																LOC101927765			
																																LOC101927787			
																																LOC101927844			
																																LOC101927851			
																																LOC101927876			
																																GBAT2			
																																PKN2-AS1			
																																LOC101927895			
																																LOC101928009			
																																UBXN10-AS1			
																																LOC101928034			
																																LOC101928043			
																																LOC101928068			
																																LINC01057			
																																LOC101928098			
																																LOC101928118			
																																LOC101928120			
																																LOC101928163			
																																LOC101928177			
																																LOC101928226			
																																LOC101928241			
																																LOC101928270			
																																LOC101928303			
																																LOC101928324			
																																LOC101928370			
																																LOC101928372			
																																LOC101928404			
																																LOC101928436			
																																LOC101928460			
																																LOC101928476			
																																LINC01363			
																																LOC101928565			
																																LOC101928596			
																																LOC101928626			
																																LOC101928650			
																																LOC101928673			
																																LOC101928696			
																																LOC101928718			
																																LOC101928728			
																																LOC101928751			
																																LOC101928778			
																																HIPK1-AS1			
																																LOC101928973			
																																LOC101928977			
																																LOC101928979			
																																LOC101928995			
																																LOC101929023			
																																PIK3CD-AS2			
																																LINC01350			
																																LOC101929099			
																																LINC01351			
																																LOC101929147			
																																LOC101929181			
																																LINC01031			
																																LOC101929224			
																																LOC101929406			
																																LOC101929441			
																																LOC101929464			
																																LOC101929516			
																																LOC101929536			
																																LOC101929541			
																																LOC101929565			
																																LOC101929592			
																																LOC101929626			
																																LOC101929631			
																																LINC01398			
																																LOC101929721			
																																LINC01352			
																																LOC101929771			
																																NBPF25P			
																																LOC101929798			
																																LOC101929901			
																																LOC101929935			
																																PRAMEF27			
																																LOC101930114			
																																RNVU1-4			
																																RNVU1-14			
																																RNVU1-15			
																																RNVU1-20			
																																RNVU1-17			
																																RNVU1-3			
																																RNVU1-1			
																																RNU6-7			
																																RNVU1-6			
																																RNVU1-19			
																																RNU6-8			
																																LINC00970			
																																MIR6068			
																																MIR6079			
																																MIR6084			
																																MIR6723			
